archivo;tabla;filas;estado_anterior;dictamen_final;bloquea_presentacion;decision_final;evidencia_resumen
campana.csv;CAMPANA;0;VACIA_EXPLICADA_NO_BLOQUEA;VACIA_EXPLICADA_EN_MUESTRA;NO;La tabla queda generada dentro del modelo, pero sin registros materializados en la muestra de 1000 productos. No bloquea el cierre del piloto.;"Tabla generada por el modelo, pero sin filas en la muestra. No bloquea el piloto; indica que no hubo registros materializables de campañas en la muestra procesada."
categoria.csv;CATEGORIA;1000;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Columnas con 95% o mas vacios: nombre / memo / vista (99.9%)
categoria_visibilidad.csv;CATEGORIA_VISIBILIDAD;17;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Columnas constantes: visible
marca.csv;MARCA;1000;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Sin anomalías generales en revisión ligera.
marca_keyword.csv;MARCA_KEYWORD;1;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Columnas constantes: _origen_row, _producto_key_origen, _codigo_origen, keyword
parametro.csv;PARAMETRO;997;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Sin anomalías generales en revisión ligera.
producto_accesorio.csv;PRODUCTO_ACCESORIO;23;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Sin anomalías generales en revisión ligera.
producto_aplicacion.csv;PRODUCTO_APLICACION;0;VACIA_EXPLICADA_NO_BLOQUEA;VACIA_EXPLICADA_EN_MUESTRA;NO;La tabla queda generada dentro del modelo, pero sin registros materializados en la muestra de 1000 productos. No bloquea el cierre del piloto.;"Tabla generada por el modelo, pero sin filas en la muestra. No bloquea el piloto; indica que no hubo aplicaciones materializables desde las columnas mapeadas en esta muestra."
producto_auditoria.csv;PRODUCTO_AUDITORIA;6666;OK_PILOTO;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;"Vertical por evento real; conserva 6666 eventos."
producto_campana.csv;PRODUCTO_CAMPANA;764;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Sin anomalías generales en revisión ligera.
producto_categoria.csv;PRODUCTO_CATEGORIA;6798;OK_PILOTO;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;"Cerrada técnicamente; sin campos de mercado."
producto_certificado.csv;PRODUCTO_CERTIFICADO;103;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Columnas totalmente vacias: cod_proveedor | Columnas con 95% o mas vacios: referencia_certificado (98.1%) | Columnas constantes: cod_proveedor
producto_compra.csv;PRODUCTO_COMPRA;1000;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Sin anomalías generales en revisión ligera.
producto_core.csv;PRODUCTO_CORE;1000;OK_PILOTO;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Tabla base del producto normalizado.
producto_descripcion.csv;PRODUCTO_DESCRIPCION;1000;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Sin anomalías generales en revisión ligera.
producto_documento.csv;PRODUCTO_DOCUMENTO;1093;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Columnas con 95% o mas vacios: url (97.9%)
producto_equivalente.csv;PRODUCTO_EQUIVALENTE;342;OK_PILOTO_CON_PENDIENTE;CERRADA_PILOTO_VALIDACION_BD_COMPLETA_FUERA_ALCANCE;NO;La tabla queda cerrada para el piloto. Las relaciones encontradas se materializaron correctamente. La validación contra la base completa corresponde a una fase posterior porque requiere consultar el universo completo, no solo la muestra.;"Incluye alternativos desde inventario; 65 pendientes de validar contra BD completa."
producto_erp_wo.csv;PRODUCTO_ERP_WO;1000;OK_REVISION_LIGERA;CERRADA_PILOTO;NO;Tabla generada y revisada sin anomalías bloqueantes para el piloto.;Revisión ligera ejecutada sin anomalías bloqueantes. Detalle: Columnas constantes: facturar_sin_existencias, producto, pertenece_producto, consignacion, ocultar_imprimir
